word_code_ws,word,word2,word_WordBank1,word_WordBank2,category,WS_class,class,classEH,RescorlaSafyer_class,classEHse,classVerbs,lemma
mcs_vc1_baa,baa,baa,baa baa,baa baa,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,baa+baa
mcs_vc1_choo,choochoo,choo,choo choo,choo choo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,choo+choo
mcs_vc1_cockadoo,cockadoodle,cockadoodledoo,cockadoodledoo,cockadoodledoo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,cockadoodledoo
mcs_vc1_grr,grrr,grr,grrr,grrr,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,grrr
mcs_vc1_meow,meow,meow,meow,meow,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,meow
mcs_vc1_moo,moo,moo,moo,moo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,moo
mcs_vc1_ouch,ouch,ouch,ouch,ouch,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,ouch
mcs_vc1_quack,quack,quack,quack quack,quack quack,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,quack+quack
mcs_vc1_uhoh,uhoh,uhoh,uh oh,uh oh,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,uh+oh
mcs_vc1_vroom,vroom,vroom,vroom,vroom,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,vroom
mcs_vc1_woof,woof,woof,woof woof,woof woof,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,woof+woof
mcs_vc1_yum,yum,yum,yum yum,yum yum,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,yum+yum
mcs_vc2_alligator,alligator,alligator,alligator,alligator,animals,Noun,Noun,Noun,Noun,Noun,Noun,alligator
mcs_vc2_animal,animal,animal,animal,animal,animals,Noun,Noun,Noun,Noun,Noun,Noun,animal
mcs_vc2_ant,ant,ant,ant,ant,animals,Noun,Noun,Noun,Noun,Noun,Noun,ant
mcs_vc2_bear,bear,bear,bear,bear,animals,Noun,Noun,Noun,Noun,Noun,Noun,bear
mcs_vc2_bee,bee,bee,bee,bee,animals,Noun,Noun,Noun,Noun,Noun,Noun,bee
mcs_vc2_bird,bird,bird,bird,bird,animals,Noun,Noun,Noun,Noun,Noun,Noun,bird
mcs_vc2_bug,bug,bug,bug,bug,animals,Noun,Noun,Noun,Noun,Noun,Noun,bug
mcs_vc2_bunny,bunny,bunny,bunny,bunny,animals,Noun,Noun,Noun,Noun,Noun,Noun,bunny
mcs_vc2_butterfly,butterfly,butterfly,butterfly,butterfly,animals,Noun,Noun,Noun,Noun,Noun,Noun,butterfly
mcs_vc2_cat,cat,cat,cat,cat,animals,Noun,Noun,Noun,Noun,Noun,Noun,cat
mcs_vc2_chicken,chicken,chicken,chicken (animal),chicken_ani,animals,Noun,Noun,Noun,Noun,Noun,Noun,chicken
mcs_vc2_cow,cow,cow,cow,cow,animals,Noun,Noun,Noun,Noun,Noun,Noun,cow
mcs_vc2_deer,deer,deer,deer,deer,animals,Noun,Noun,Noun,Noun,Noun,Noun,deer
mcs_vc2_dog,dog,dog,dog,dog,animals,Noun,Noun,Noun,Noun,Noun,Noun,dog
mcs_vc2_donkey,donkey,donkey,donkey,donkey,animals,Noun,Noun,Noun,Noun,Noun,Noun,donkey
mcs_vc2_duck,duck,duck,duck,duck,animals,Noun,Noun,Noun,Noun,Noun,Noun,duck
mcs_vc2_elephant,elephant,elephant,elephant,elephant,animals,Noun,Noun,Noun,Noun,Noun,Noun,elephant
mcs_vc2_fish,fish,fish,fish (animal),fish_ani,animals,Noun,Noun,Noun,Noun,Noun,Noun,fish
mcs_vc2_frog,frog,frog,frog,frog,animals,Noun,Noun,Noun,Noun,Noun,Noun,frog
mcs_vc2_giraffe,giraffe,giraffe,giraffe,giraffe,animals,Noun,Noun,Noun,Noun,Noun,Noun,giraffe
mcs_vc2_goose,goose,goose,goose,goose,animals,Noun,Noun,Noun,Noun,Noun,Noun,goose
mcs_vc2_hen,hen,hen,hen,hen,animals,Noun,Noun,Noun,Noun,Noun,Noun,hen
mcs_vc2_horse,horse,horse,horse,horse,animals,Noun,Noun,Noun,Noun,Noun,Noun,horse
mcs_vc2_kitty,kitty,kitty,kitty,kitty,animals,Noun,Noun,Noun,Noun,Noun,Noun,kitty
mcs_vc2_lamb,lamb,lamb,lamb,lamb,animals,Noun,Noun,Noun,Noun,Noun,Noun,lamb
mcs_vc2_lion,lion,lion,lion,lion,animals,Noun,Noun,Noun,Noun,Noun,Noun,lion
mcs_vc2_monkey,monkey,monkey,monkey,monkey,animals,Noun,Noun,Noun,Noun,Noun,Noun,monkey
mcs_vc2_moose,moose,moose,moose,moose,animals,Noun,Noun,Noun,Noun,Noun,Noun,moose
mcs_vc2_mouse,mouse,mouse,mouse,mouse,animals,Noun,Noun,Noun,Noun,Noun,Noun,mouse
mcs_vc2_owl,owl,owl,owl,owl,animals,Noun,Noun,Noun,Noun,Noun,Noun,owl
mcs_vc2_penguin,penguin,penguin,penguin,penguin,animals,Noun,Noun,Noun,Noun,Noun,Noun,penguin
mcs_vc2_pig,pig,pig,pig,pig,animals,Noun,Noun,Noun,Noun,Noun,Noun,pig
mcs_vc2_pony,pony,pony,pony,pony,animals,Noun,Noun,Noun,Noun,Noun,Noun,pony
mcs_vc2_puppy,puppy,puppy,puppy,puppy,animals,Noun,Noun,Noun,Noun,Noun,Noun,puppy
mcs_vc2_rooster,rooster,rooster,rooster,rooster,animals,Noun,Noun,Noun,Noun,Noun,Noun,rooster
mcs_vc2_sheep,sheep,sheep,sheep,sheep,animals,Noun,Noun,Noun,Noun,Noun,Noun,sheep
mcs_vc2_squirrel,squirrel,squirrel,squirrel,squirrel,animals,Noun,Noun,Noun,Noun,Noun,Noun,squirrel
mcs_vc2_teddybear,teddybear,teddybear,teddybear,teddybear,animals,Noun,Noun,Noun,Noun,Noun,Noun,teddybear
mcs_vc2_tiger,tiger,tiger,tiger,tiger,animals,Noun,Noun,Noun,Noun,Noun,Noun,tiger
mcs_vc2_turkey,turkey,turkey,turkey,turkey,animals,Noun,Noun,Noun,Noun,Noun,Noun,turkey
mcs_vc2_turtle,turtle,turtle,turtle,turtle,animals,Noun,Noun,Noun,Noun,Noun,Noun,turtle
mcs_vc2_wolf,wolf,wolf,wolf,wolf,animals,Noun,Noun,Noun,Noun,Noun,Noun,wolf
mcs_vc2_zebra,zebra,zebra,zebra,zebra,animals,Noun,Noun,Noun,Noun,Noun,Noun,zebra
mcs_vc3_airplane,airplane,airplane,airplane,airplane,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,airplane
mcs_vc3_bicycle,bicycle,bicycle,bicycle,bicycle,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,bicycle
mcs_vc3_boat,boat,boat,boat,boat,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,boat
mcs_vc3_bus,bus,bus,bus,bus,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,bus
mcs_vc3_car,car,car,car,car,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,car
mcs_vc3_firetruck,firetruck,firetruck,firetruck,firetruck,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,firetruck
mcs_vc3_helicopter,helicopter,helicopter,helicopter,helicopter,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,helicopter
mcs_vc3_motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,motorcycle
mcs_vc3_sled,sled,sled,sled,sled,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,sled
mcs_vc3_stroller,stroller,stroller,stroller,stroller,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,stroller
mcs_vc3_tractor,tractor,tractor,tractor,tractor,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,tractor
mcs_vc3_train,train,train,train,train,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,train
mcs_vc3_tricycle,tricycle,tricycle,tricycle,tricycle,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,tricycle
mcs_vc3_truck,truck,truck,truck,truck,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,truck
mcs_vc4_ball,ball,ball,ball,ball,toys,Noun,Noun,Noun,Noun,Noun,Noun,ball
mcs_vc4_balloon,balloon,balloon,balloon,balloon,toys,Noun,Noun,Noun,Noun,Noun,Noun,balloon
mcs_vc4_bat,bat,bat,bat,bat,toys,Noun,Noun,Noun,Noun,Noun,Noun,bat
mcs_vc4_block,block,block,block,block,toys,Noun,Noun,Noun,Noun,Noun,Noun,block
mcs_vc4_book,book,book,book,book,toys,Noun,Noun,Noun,Noun,Noun,Noun,book
mcs_vc4_bubbles,bubbles,bubbles,bubbles,bubbles,toys,Noun,Noun,Noun,Noun,Noun,Noun,bubbles
mcs_vc4_chalk,chalk,chalk,chalk,chalk,toys,Noun,Noun,Noun,Noun,Noun,Noun,chalk
mcs_vc4_crayon,crayon,crayon,crayon,crayon,toys,Noun,Noun,Noun,Noun,Noun,Noun,crayon
mcs_vc4_doll,doll,doll,doll,doll,toys,Noun,Noun,Noun,Noun,Noun,Noun,doll
mcs_vc4_game,game,game,game,game,toys,Noun,Noun,Noun,Noun,Noun,Noun,game
mcs_vc4_glue,glue,glue,glue,glue,toys,Noun,Noun,Noun,Noun,Noun,Noun,glue
mcs_vc4_pen,pen,pen,pen,pen,toys,Noun,Noun,Noun,Noun,Noun,Noun,pen
mcs_vc4_pencil,pencil,pencil,pencil,pencil,toys,Noun,Noun,Noun,Noun,Noun,Noun,pencil
mcs_vc4_playdough,playdough,playdough,playdough,playdough,toys,Noun,Noun,Noun,Noun,Noun,Noun,play+dough
mcs_vc4_present,present,present,present,present,toys,Noun,Noun,Noun,Noun,Noun,Noun,present
mcs_vc4_puzzle,puzzle,puzzle,puzzle,puzzle,toys,Noun,Noun,Noun,Noun,Noun,Noun,puzzle
mcs_vc4_story,story,story,story,story,toys,Noun,Noun,Noun,Noun,Noun,Noun,story
mcs_vc4_toy,toy,toy,toy,toy_obj,toys,Noun,Noun,Noun,Noun,Noun,Noun,toy
mcs_vc5_apple,apple,apple,apple,apple,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,apple
mcs_vc5_applesauce,applesauce,applesauce,applesauce,applesauce,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,applesauce
mcs_vc5_banana,banana,banana,banana,banana,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,banana
mcs_vc5_beans,beans,beans,beans,beans,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,beans
mcs_vc5_bread,bread,bread,bread,bread,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,bread
mcs_vc5_butter,butter,butter,butter,butter,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,butter
mcs_vc5_cake,cake,cake,cake,cake,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cake
mcs_vc5_candy,candy,candy,candy,candy,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,candy
mcs_vc5_carrots,carrots,carrots,carrots,carrots,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,carrots
mcs_vc5_cereal,cereal,cereal,cereal,cereal,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cereal
mcs_vc5_cheerios,cheerios,cheerios,cheerios,cheerios,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cheerios
mcs_vc5_cheese,cheese,cheese,cheese,cheese,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cheese
mcs_vc5_chicken,chicken,chicken,chicken,chicken_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,chicken
mcs_vc5_chocolate,chocolate,chocolate,chocolate,chocolate,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,chocolate
mcs_vc5_coffee,coffee,coffee,coffee,coffee,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,coffee
mcs_vc5_coke,coke,coke,coke,coke,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,coke
